# name|soc|soc_maker|ram_gib|storage_gb|portrait_width|portrait_height|source
# A concrete advertised variant. Zero means not verified, never a fabricated fallback.
OnePlus Nord 3 5G|Dimensity 9000|MediaTek|8|128|1240|2772|https://www.oneplus.in/nord-3-5g/specs
OnePlus Nord CE4|Snapdragon 7 Gen 3|Qualcomm|8|128|1080|2412|https://www.oneplus.in/nord-ce4-5g/specs
OnePlus Nord CE4 Lite 5G|Snapdragon 695 5G|Qualcomm|8|128|1080|2400|https://www.oneplus.in/nord-ce4-lite-5g/specs
OnePlus Nord 2T 5G|Dimensity 1300|MediaTek|8|128|1080|2400|https://www.oneplus.in/nord-2t-5g/specs
Xiaomi 15|Snapdragon 8 Elite|Qualcomm|12|512|1200|2670|https://www.mi.com/in/product/xiaomi-15/specs/
Xiaomi 14|Snapdragon 8 Gen 3|Qualcomm|12|512|1200|2670|https://www.mi.com/in/product/xiaomi-14/specs/
Xiaomi 14 Civi|Snapdragon 8s Gen 3|Qualcomm|8|256|0|0|https://www.mi.com/in/product/xiaomi-14-civi/specs/
Redmi Note 14 Pro+ 5G|Snapdragon 7s Gen 3|Qualcomm|8|128|1220|2712|https://www.mi.com/in/product/redmi-note-14-pro-plus-5g/specs/
Redmi Note 14 Pro 5G|Dimensity 7300-Ultra|MediaTek|8|128|1220|2712|https://www.mi.com/in/product/redmi-note-14-pro-5g/specs/
Redmi Note 14 5G|Dimensity 7025-Ultra|MediaTek|8|128|1080|2400|https://www.mi.com/in/product/redmi-note-14-5g/specs/
Redmi Note 13 Pro+ 5G|Dimensity 7200-Ultra|MediaTek|0|0|1220|2712|https://www.mi.com/in/product/redmi-note-13-pro-plus-5g/specs/
Redmi Note 13 Pro 5G|Snapdragon 7s Gen 2|Qualcomm|8|128|1220|2712|https://www.mi.com/in/product/redmi-note-13-pro-5g/specs/
Redmi Note 13 5G|Dimensity 6080|MediaTek|0|0|0|0|https://www.mi.com/in/product/redmi-note-13-5g/specs/
Redmi Note 12 Pro+ 5G|Dimensity 1080|MediaTek|8|256|0|0|https://www.mi.com/in/product/redmi-note-12-pro-plus-5g/specs/
Redmi Note 12 Pro 5G|Dimensity 1080|MediaTek|6|128|0|0|https://www.mi.com/in/product/redmi-note-12-pro-5g/specs/
Redmi Note 12|Snapdragon 685|Qualcomm|6|128|0|0|https://www.mi.com/in/product/redmi-note-12/specs/
realme 14 Pro+ 5G|Snapdragon 7s Gen 3|Qualcomm|0|0|0|0|https://www.realme.com/in/realme-14-pro-plus-5g/specs
realme 14 Pro 5G|Dimensity 7300 Energy|MediaTek|8|128|1080|2392|https://www.realme.com/in/realme-14-pro-5g/specs
realme 13 Pro+ 5G|Snapdragon 7s Gen 2|Qualcomm|8|256|1080|2412|https://www.realme.com/in/realme-13-pro-plus-5g/specs
realme 13 Pro 5G|Snapdragon 7s Gen 2|Qualcomm|8|128|1080|2412|https://www.realme.com/in/realme-13-pro-5g/specs
realme 12 Pro+ 5G|Snapdragon 7s Gen 2|Qualcomm|8|128|1080|2412|https://www.realme.com/in/realme-12-pro-plus/specs
realme 12 Pro 5G|Snapdragon 6 Gen 1|Qualcomm|8|128|1080|2412|https://www.realme.com/in/realme-12-pro/specs
realme GT 6|Snapdragon 8s Gen 3|Qualcomm|8|256|1264|2780|https://www.realme.com/in/realme-gt-6/specs
realme GT 6T|Snapdragon 7+ Gen 3|Qualcomm|8|128|1264|2780|https://www.realme.com/in/realme-gt-6t/specs
realme NARZO 70 5G|Dimensity 7050|MediaTek|8|128|1080|2400|https://www.realme.com/in/realme-narzo-70-5g/specs
realme P3 5G|Snapdragon 6 Gen 4|Qualcomm|8|256|1080|2400|https://www.realme.com/in/realme-p3-5g/specs
vivo V30|Snapdragon 7 Gen 3|Qualcomm|8|128|1260|2800|https://www.vivo.com/in/products/param/v30
vivo V30 Pro|Dimensity 8200|MediaTek|8|256|1260|2800|https://www.vivo.com/in/products/param/v30-pro
vivo V40|Snapdragon 7 Gen 3|Qualcomm|8|128|1260|2800|https://www.vivo.com/in/products/param/v40
vivo V40 Pro|Dimensity 9200+|MediaTek|8|256|1260|2800|https://www.vivo.com/in/products/param/v40-pro
vivo T3 5G|Dimensity 7200|MediaTek|8|128|1080|2400|https://www.vivo.com/in/products/param/t3-5g
vivo T3 Pro 5G|Snapdragon 7 Gen 3|Qualcomm|8|128|1080|2392|https://www.vivo.com/in/products/param/t3-pro-5g
OPPO Reno11 5G|Dimensity 7050|MediaTek|8|128|1080|2412|https://www.oppo.com/in/smartphones/series-reno/reno11/specs/
OPPO Reno11 Pro 5G|Dimensity 8200|MediaTek|12|256|1080|2412|https://www.oppo.com/in/smartphones/series-reno/reno11-pro/specs/
OPPO Reno12 5G|Dimensity 7300-Energy|MediaTek|8|256|1080|2412|https://www.oppo.com/in/smartphones/series-reno/reno12/specs/
OPPO Reno12 Pro 5G|Dimensity 7300-Energy|MediaTek|12|256|1080|2412|https://www.oppo.com/in/smartphones/series-reno/reno12-pro/specs/
Lava Agni 2 5G|Dimensity 7050|MediaTek|8|256|1080|2400|https://www.lavamobiles.com/agni-2/index.html
Lava Agni 3|Dimensity 7300X|MediaTek|8|128|1200|2652|https://www.lavamobiles.com/agni-3/index.html
iQOO 12|Snapdragon 8 Gen 3|Qualcomm|12|256|1260|2800|https://www.iqoo.com/in/products/param/iqoo12
iQOO Neo9 Pro|Snapdragon 8 Gen 2|Qualcomm|8|256|1260|2800|https://www.iqoo.com/in/products/param/neo9pro
Samsung Galaxy A55 5G|Exynos 1480|Samsung|0|0|0|0|https://www.samsung.com/in/smartphones/galaxy-a55/
Samsung Galaxy A35 5G|Exynos 1380|Samsung|8|128|1080|2340|https://www.samsung.com/in/smartphones/galaxy-a/galaxy-a35-5g-awesome-iceblue-128gb-sm-a356elbjins/
Samsung Galaxy M55 5G|Snapdragon 7 Gen 1|Qualcomm|8|128|0|0|https://news.samsung.com/in/samsung-unveils-galaxy-m55-5g-galaxy-m15-5g-with-segment-leading-super-amoled-plus-display-powerful-processor-and-stylish-design-in-india
Samsung Galaxy M35 5G|Exynos 1380|Samsung|6|128|0|0|https://news.samsung.com/in/samsung-unveils-galaxy-m35-5g-with-segment-leading-monster-features-in-india
Samsung Galaxy M15 5G|Dimensity 6100+|MediaTek|4|128|0|0|https://news.samsung.com/in/samsung-unveils-galaxy-m55-5g-galaxy-m15-5g-with-segment-leading-super-amoled-plus-display-powerful-processor-and-stylish-design-in-india
Samsung Galaxy F55 5G|Snapdragon 7 Gen 1|Qualcomm|8|128|0|0|https://news.samsung.com/in/samsung-unveils-galaxy-f55-5g-with-classy-vegan-leather-design-super-amoled-display-and-powerful-snapdragon-processor-in-india
