# Marketing name | Google Play model | Google Play device (optional disambiguation) | Manufacturer India reference
realme 14 Pro 5G|RMX5056||https://www.realme.com/in/realme-14-pro-5g/specs
realme 13 Pro+ 5G|RMX3921||https://www.realme.com/in/realme-13-pro-plus-5g/specs
realme 13 Pro 5G|RMX3988||https://www.realme.com/in/realme-13-pro-5g/specs
realme 12 Pro+ 5G|RMX3840||https://www.realme.com/in/realme-12-pro-plus/specs
realme 12 Pro 5G|RMX3842||https://www.realme.com/in/realme-12-pro/specs
realme GT 6|RMX3851||https://www.realme.com/in/realme-gt-6/specs
realme GT 6T|RMX3853||https://www.realme.com/in/realme-gt-6t/specs
realme NARZO 70 5G|RMX3869||https://www.realme.com/in/realme-narzo-70-5g/specs
realme P3 5G|RMX5070||https://www.realme.com/in/realme-p3-5g/specs
vivo V30|V2318||https://www.vivo.com/in/products/param/v30
vivo V30 Pro|V2319||https://www.vivo.com/in/products/param/v30-pro
vivo V40|V2348||https://www.vivo.com/in/products/param/v40
vivo V40 Pro|V2347||https://www.vivo.com/in/products/param/v40-pro
vivo T3 5G|V2334||https://www.vivo.com/in/products/param/t3-5g
vivo T3 Pro 5G|V2404||https://www.vivo.com/in/products/param/t3-pro-5g
OPPO Reno11 5G|CPH2599||https://www.oppo.com/in/smartphones/series-reno/reno11/specs/
OPPO Reno11 Pro 5G|CPH2607||https://www.oppo.com/in/smartphones/series-reno/reno11-pro/specs/
OPPO Reno12 5G|CPH2625||https://www.oppo.com/in/smartphones/series-reno/reno12/specs/
OPPO Reno12 Pro 5G|CPH2629||https://www.oppo.com/in/smartphones/series-reno/reno12-pro/specs/
Nothing Phone (1)|A063||https://in.nothing.tech/pages/phone-1
Nothing Phone (2)|AIN065||https://in.nothing.tech/pages/phone-2
Nothing Phone (2a)|A142||https://in.nothing.tech/pages/phone-2a
Nothing Phone (2a) Plus|A142P||https://in.nothing.tech/pages/phone-2a-plus
Google Pixel 8|Pixel 8||https://store.google.com/in/product/pixel_8_specs
Google Pixel 8a|Pixel 8a||https://store.google.com/in/product/pixel_8a_specs
Google Pixel 9|Pixel 9||https://store.google.com/in/product/pixel_9_specs
Google Pixel 9 Pro|Pixel 9 Pro||https://store.google.com/in/product/pixel_9_pro_specs
Lava Agni 2 5G|LAVA LXX504||https://www.lavamobiles.com/agni-2/index.html
Lava Agni 3|LXX518||https://www.lavamobiles.com/agni-3/index.html
iQOO 12|I2220||https://www.iqoo.com/in/products/param/iqoo12
iQOO Neo9 Pro|I2304||https://www.iqoo.com/in/products/param/neo9pro
